M,p0,TAU,quantpred
17D836517076714986866C8,1,1,0.85
17DE36420995807261DC7C3,0,1,0.85
17E333654964770996FB507,1,4,0.55
17E433835078763542AC842,0,4,0.55
17E5365407247892491CC0D,1,2,0.75
17E63611678998123AF66BC,1,1,0.85
1811360628766657124C562,1,3,0.65
18173428777609746E6AAAE,1,3,0.65
181E3412969194770111B29,1,2,0.75
18453666961929772F263EE,1,1,0.85
184F338889187473968A6FC,0,5,0.45
184F3415370213816363832,1,6,0.35
1861366024701539612201B,1,1,0.85
18683393778075181EB0F9C,0,3,0.65
187C34067345907465F8D8D,1,4,0.55
187E3644144163070F2E1B5,1,1,0.85
188936264686331819031B2,1,3,0.65
188E3637487252863F60E83,1,1,0.85
18923623122327193AC204E,0,3,0.65
189835956948623013DDBDC,1,2,0.75
189C34005789037537F88C9,0,3,0.65
189F36322776986798243E8,1,1,0.85
18A8363784068213470B940,1,1,0.85
18B9365241064496155E90F,0,2,0.75
18C03651505865772D89D38,0,3,0.65
18C233900961448204A2EF1,1,3,0.65
18DA341804823319818A0F8,1,4,0.55
18E636449962326336AEDB5,1,1,0.85
18E83630646177309027C44,1,1,0.85
18F034309949145153A4124,0,3,0.65
18F23631864819323F144C3,1,0,0.95
190A3417584257232700EB0,1,3,0.65
192D336528379980001FF18,1,4,0.55
193134165431708761C1F67,0,3,0.65
193236025856794701215D8,1,1,0.85
194234279785893467F48F5,0,3,0.65
195B3394674828773BB2FE5,1,4,0.55
19613432983425645E4128C,0,3,0.65
19623401774915712D18EF9,1,4,0.55
19743429775308457C74459,1,2,0.75
1992339122714200918FD57,1,4,0.55
1994336454814548200D257,0,4,0.55
1995362007634154716BB59,1,1,0.85
19AA3640638762435192E7B,1,1,0.85
19AC3388426570132D4899B,1,4,0.55
19BD3366658659450649386,1,6,0.35
19C9336671490748451BC29,0,3,0.65
19D43627610518500A29A14,1,2,0.75
19D436278055423313F9537,1,1,0.85
19ED3428542554756B73957,0,3,0.65
